form	lemma	POS	morph
༄༅། །		PUNCT
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
ལམ་	གམ་	PART
གྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
དམ་པ་	དམ་པ་	VERB
གསུམ་	གསུམ་	NUM
།		PUNCT
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
ལམ་	གམ་	PART
གྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
དམ་པ་	དམ་པ་	VERB
གསུམ་	གསུམ་	NUM
།		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
དམ་པ་	དམ་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
དགེ་འདུན་	དགེ་འདུན་	NOUN
ཏེ་	སྟེ་	PART
།		PUNCT
དཀོང་		NON_WORD
མཆོག་	མཆོག་	ADJ
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
བློ་	བློ་	NOUN
གཏད་	གཏད་	VERB
མི་འགྱུར་བ་	མི་འགྱུར་བ་	NO_POS
ས་	གིས་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
སོང་བ་	སོང་བ་	VERB
འི་	གི་	PART
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐ་	ཐ་	VERB
ན་	ལ་	PART
ཅི་མ་རུང་	ཅི་མ་རུང་	NO_POS
།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
གོ་འཕང་	གོ་འཕང་	NOUN
ཐོབ་	ཐོབ་	VERB
ན་	ལ་	PART
ཅི་མ་རུང་	ཅི་མ་རུང་	NO_POS
སྙམ་	སྙམ་	VERB
དུ་	ལ་	PART
།		PUNCT
ཡང་	ཀྱང་	PART
དང་	དང་	NO_POS
ཡང་	ཀྱང་	PART
དུ་	ལ་	PART
གོམས་པ་	གོམས་པ་	VERB
ར་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
རེ་ཞིག་	རེ་ཞིག་	NO_POS
ན་	ལ་	PART
སྙིང་	སྙིང་	NOUN
ན་	ནས་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
